Country;pts_count;pts_ppm;infants;children;adolescents;male;female;data;iso_a3;year
Austria;51;38.8;22.5;42;49.5;43.1;34.4;Provided data via ERA-EDTA Registry;AUT;2006
Czech Republic;28;18.8;12.3;17.8;25.2;19.6;17.9;Provided extended data to the ESPN Registry;CZE;2006
Denmark;41;40.4;12.3;38.5;68.2;51.9;28.3;Provided data via ERA-EDTA Registry;DNK;2006
Finland;80;88.5;66.3;103;95;101.9;74.5;Provided data via ERA-EDTA Registry;FIN;2006
France;193;16.4;14;14.3;21.2;17.8;15;Provided extended data to the ESPN Registry;FRA;2006
FYR of Macedonia;4;10.2;0;23.6;6.7;14.9;5.3;Provided limited data to the ESPN Registry;MKD;2006
Greece;44;27.6;7.6;33.1;41.7;38.2;24.5;Provided data via ERA-EDTA Registry;GRC;2006
Hungaria;37;27.9;7.3;19.1;52.7;38.2;17;Provided limited data to the ESPN Registry;HUN;2006
Iceland;3;45.9;0;46.8;87.8;30;62.4;Provided data via ERA-EDTA Registry;ISL;2006
Italy;278;33.5;21;33.7;45.6;39.4;27.3;Provided extended data to the ESPN Registry;ITA;2006
Lithuania;15;27.3;13.2;17.1;44.9;28.4;26.2;Provided extended data to the ESPN Registry;LTU;2006
Norway;45;49.6;31.2;36.2;79.7;62.4;36.2;Provided extended data to the ESPN Registry;NOR;2006
Poland;102;16.7;17.9;18;14.8;21.4;11.8;Provided data via ERA-EDTA Registry;POL;2006
Portugal;54;32.9;18.2;33.1;47.5;38;27.5;Provided extended data to the ESPN Registry;PRT;2006
Romania;33;9.9;0.9;7.2;20.4;7.6;12.3;Provided data via ERA-EDTA Registry;ROU;2006
Serbia;6;5.2;5.3;5.5;4.8;8.4;1.8;Provided limited data to the ESPN Registry;SRB;2006
Slovenia;6;21.3;22.2;21.8;20;34.5;7.3;Provided limited data to the ESPN Registry;SVN;2006
Spain, Andalusia;42;32.6;6.9;43.4;48.2;33.3;32;Provided data via ERA-EDTA Registry;ES.AN;2006
Spain, Aragon;4;24.5;18.1;0;54.7;23.9;25.2;Provided data via ERA-EDTA Registry;ES.AR;2006
Spain, Basque country;18;68.5;31.3;81.6;98.5;66.6;70.4;Provided data via ERA-EDTA Registry;ES.PV;2006
Spain, Catalonia;56;56.7;30.7;63.2;79.9;74.7;37.5;Provided data via ERA-EDTA Registry;ES.CT;2006
Spain, Valencia;28;40.3;25.2;31.2;64.7;53.2;26.7;Provided data via ERA-EDTA Registry;ES.VC;2006
Sweden;77;49.5;29.7;47;68.7;52.7;46.2;Provided data via ERA-EDTA Registry;SWE;2006
the Netherlands;124;41.7;15.3;39.9;69.6;48;35.1;Provided data via ERA-EDTA Registry;NLD;2006
Turkey;487;11.9;2.4;10;23.6;11.9;11.9;Provided limited data to the ESPN Registry;TUR;2006
United Kingdom;519;44.7;15.4;39.9;76.2;55;33.7;Provided extended data to the ESPN Registry;GBR;2006
Slovakia;;;;;;;;Provided extended data to the ESPN Registry;SVK;2006
Estonia;;;;;;;;Provided extended data to the ESPN Registry;EST;2006
Russian Republic;;;;;;;;Intend to contribute data in the near future;RUS;2006
Germany;;;;;;;;Intend to contribute data in the near future;DEU;2006
Belgium ;;;;;;;;Intend to contribute data in the near future;BEL;2006
Luxemburg;;;;;;;;Intend to contribute data in the near future;LUX;2006
Switzerland;;;;;;;;Intend to contribute data in the near future;CHE;2006
Belarus;;;;;;;;Intend to contribute data in the near future;BLR;2006
Austria;52;40.1;17.5;50.3;50.1;48.1;31.7;Provided data via ERA-EDTA Registry;AUT;2007
Croatia;19;27.7;14.6;17.5;47.4;31.2;23.9;Provided limited data to the ESPN Registry;HRV;2007
Czech;33;22.3;19.8;15.5;30.7;21.1;23.6;Provided extended data to the ESPN Registry;CZE;2007
Denmark;38;37;15.2;38.4;56;45.7;28;Provided data via ERA-EDTA Registry;DNK;2007
Estonia;2;10;0;16.2;14.8;9.8;10.3;Provided extended data to the ESPN Registry;EST;2007
Finland;83;92.4;79.3;93.8;103;102.5;81.9;Provided extended data to the ESPN Registry;FIN;2007
France;402;34.2;15.5;29.3;58.2;41.8;26.1;Provided extended data to the ESPN Registry;FRA;2007
FYR of Macedonia;7;18.3;0;16.1;34.6;25.4;10.8;Provided extended data to the ESPN Registry;MKD;2007
Greece;46;28.8;9.3;33.1;43.9;34;23.2;Provided data via ERA-EDTA Registry;GRC;2007
Hungaria;37;28.3;7.2;21.7;52.5;38.8;17.3;Provided extended data to the ESPN Registry;HUN;2007
Iceland;2;30.5;0;94.1;0;0;62.1;Provided extended data to the ESPN Registry;ISL;2007
Italy;248;29.7;18.2;32.2;38.7;34;25.1;Provided extended data to the ESPN Registry;ITA;2007
Latvia;1;3.2;0;0;8.9;6.2;0;Provided limited data to the ESPN Registry;LVA;2007
Lithuania;17;32.2;19.7;23.8;48.2;44.4;19.4;Provided extended data to the ESPN Registry;LTU;2007
Montenegro;1;8.1;0;24.7;0;15.7;0;Provided extended data to the ESPN Registry;MNE;2007
Norway;41;45.2;24;39.9;70;53.8;36.2;Provided extended data to the ESPN Registry;NOR;2007
Poland;205;34.4;18.3;35.5;46.3;41.9;26.5;Provided extended data to the ESPN Registry;POL;2007
Portugal;64;39.2;20.3;45.5;51.7;47.7;30.2;Provided extended data to the ESPN Registry;PRT;2007
Romania;35;10.6;1.9;7.3;21.9;8.9;12.4;Provided data via ERA-EDTA Registry;ROU;2007
Russia;168;16.1;5.5;14;29.1;16.3;15.9;Provided extended data to the ESPN Registry;RUS;2007
Serbia;28;24.5;5.4;27.4;39.5;32.4;16.2;Provided extended data to the ESPN Registry;SRB;2007
Slovakia;23;26.7;7.6;25.8;43.1;27.2;26.2;Provided extended data to the ESPN Registry;SVK;2007
Slovenia;6;21.3;10.9;33;20.4;27.7;14.6;Provided extended data to the ESPN Registry;SVN;2007
Spain, Andalusia;41;31.1;6.8;25.7;60.4;33.9;28.2;Provided data via ERA-EDTA Registry;ES.AN;2007
Spain, Aragon;6;35.2;34;17.9;53.8;45.6;24.2;Provided data via ERA-EDTA Registry;ES.AR;2007
Spain, Basque;26;95.7;20;134;145.5;100.3;90.8;Provided data via ERA-EDTA Registry;ES.PV;2007
Spain, Catalonia;46;43.9;31;46.9;56.5;53.8;33.5;Provided data via ERA-EDTA Registry;ES.CT;2007
Spain, Valencia;29;41;32.8;34.6;55.9;54.9;26.2;Provided data via ERA-EDTA Registry;ES.VC;2007
Sweden;75;48.5;30.8;44.5;68.5;55.5;41.2;Provided data via ERA-EDTA Registry;SWE;2007
the Netherlands;131;44.4;18.8;45.6;68.2;52.4;36.1;Provided extended data to the ESPN Registry;NLD;2007
United Kingdom;553;51.6;23.4;46.7;83.4;61;41.1;Provided extended data to the ESPN Registry;GBR;2007
Turkey;;;;;;;;Provided extended data to the ESPN Registry;TUR;2007
Germany;;;;;;;;Intend to contribute data in the near future;DEU;2007
